Params;MeanMAE;MeanR2
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.19620118380510632;0.8353641503603271
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.20238295450627727;0.835705335865429
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.21165593122449528;0.8368013755887805
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.19337570455872;0.8381062848412218
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'sgd'};-0.20247418920367663;0.8417250819105953
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.20233642371963856;0.8426437715516831
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.20155816660387593;0.8485046143227606
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.18911303541590535;0.8508129279509029
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.19610886820594256;0.8509236967950284
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'sgd'};-0.19223486868122944;0.8577783286218859
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.1878550462316245;0.8583888812662572
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 2000, 'solver': 'adam'};-0.19730691168327763;0.8587583321607921
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'sgd'};-0.21081332190857865;0.859161404734081
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.1833562988453042;0.8594980363061746
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'adam'};-0.1816895548797327;0.8599361605056881
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'};-0.18634649755732777;0.8612942258339453
{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.01, 'max_iter': 1000, 'solver': 'adam'};-0.18049489496306986;0.863486119337016
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'sgd'};-0.21449138128392944;0.86361110812757
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'};-0.1916881857966096;0.8636153294125579
