;date;time;weekday;pedestrians count;temperature in ºc;weather condition;months;hour;school holiday;holiday;Rain;Drizzle;Snow;Mist;Clear;Clouds;January;February;March;April;May;June;July;August;September;October;November;December;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;temperature
54;2018-05-03;06:00:00;Thursday;265;10.0;partly-cloudy-night;05;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.35857477739627264
55;2018-05-03;07:00:00;Thursday;712;10.0;partly-cloudy-day;05;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.35857477739627264
56;2018-05-03;08:00:00;Thursday;1469;10.0;partly-cloudy-day;05;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.35857477739627264
57;2018-05-03;09:00:00;Thursday;2260;11.0;partly-cloudy-day;05;9;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.22859787373435103
58;2018-05-03;10:00:00;Thursday;3830;12.0;partly-cloudy-day;05;10;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.09862097007242943
59;2018-05-03;11:00:00;Thursday;5612;13.0;partly-cloudy-day;05;11;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0313559335894922
60;2018-05-03;12:00:00;Thursday;7046;14.0;partly-cloudy-day;05;12;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1613328372514138
61;2018-05-03;13:00:00;Thursday;7658;15.0;partly-cloudy-day;05;13;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.29130974091333545
62;2018-05-03;14:00:00;Thursday;7057;15.0;partly-cloudy-day;05;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.29130974091333545
63;2018-05-03;15:00:00;Thursday;7564;16.0;partly-cloudy-day;05;15;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.42128664457525705
