location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Schildergasse (West), Köln;2018-05-06 07:00:00 +0200;Sunday;118;9;clear-day;
Schildergasse (West), Köln;2018-05-06 08:00:00 +0200;Sunday;127;12;clear-day;
Schildergasse (West), Köln;2018-05-06 09:00:00 +0200;Sunday;313;15;clear-day;
Schildergasse (West), Köln;2018-05-06 10:00:00 +0200;Sunday;608;18;clear-day;
Schildergasse (West), Köln;2018-05-06 11:00:00 +0200;Sunday;918;20;clear-day;
Schildergasse (West), Köln;2018-05-06 12:00:00 +0200;Sunday;1227;22;clear-day;
Schildergasse (West), Köln;2018-05-06 13:00:00 +0200;Sunday;1517;24;clear-day;
Schildergasse (West), Köln;2018-05-06 14:00:00 +0200;Sunday;1571;26;clear-day;
Schildergasse (West), Köln;2018-05-06 15:00:00 +0200;Sunday;1870;27;clear-day;
Schildergasse (West), Köln;2018-05-06 16:00:00 +0200;Sunday;1943;27;clear-day;
Schildergasse (West), Köln;2018-05-06 17:00:00 +0200;Sunday;1707;27;clear-day;
Schildergasse (West), Köln;2018-05-06 18:00:00 +0200;Sunday;1290;27;clear-day;
Schildergasse (West), Köln;2018-05-06 19:00:00 +0200;Sunday;1132;26;clear-day;
Schildergasse (West), Köln;2018-05-06 20:00:00 +0200;Sunday;876;25;clear-day;
Schildergasse (West), Köln;2018-05-06 21:00:00 +0200;Sunday;560;23;clear-night;
Schildergasse (West), Köln;2018-05-06 22:00:00 +0200;Sunday;343;20;clear-night;
Schildergasse (West), Köln;2018-05-06 23:00:00 +0200;Sunday;221;18;clear-night;
Schildergasse (West), Köln;2018-05-07 00:00:00 +0200;Monday;84;17;clear-night;
Schildergasse (West), Köln;2018-05-07 01:00:00 +0200;Monday;40;16;clear-night;
Schildergasse (West), Köln;2018-05-07 02:00:00 +0200;Monday;26;14;clear-night;
Schildergasse (West), Köln;2018-05-07 03:00:00 +0200;Monday;7;13;clear-night;
Schildergasse (West), Köln;2018-05-07 04:00:00 +0200;Monday;22;12;clear-night;
Schildergasse (West), Köln;2018-05-07 05:00:00 +0200;Monday;99;11;clear-night;
Schildergasse (West), Köln;2018-05-07 06:00:00 +0200;Monday;922;10;clear-night;
Schildergasse (West), Köln;2018-05-07 07:00:00 +0200;Monday;531;11;clear-day;
Schildergasse (West), Köln;2018-05-07 08:00:00 +0200;Monday;1331;14;clear-day;
Schildergasse (West), Köln;2018-05-07 09:00:00 +0200;Monday;1791;16;clear-day;
Schildergasse (West), Köln;2018-05-07 10:00:00 +0200;Monday;3426;19;clear-day;
Schildergasse (West), Köln;2018-05-07 11:00:00 +0200;Monday;5085;21;clear-day;
Schildergasse (West), Köln;2018-05-07 12:00:00 +0200;Monday;6363;22;clear-day;
Schildergasse (West), Köln;2018-05-07 13:00:00 +0200;Monday;6972;24;clear-day;
Schildergasse (West), Köln;2018-05-07 14:00:00 +0200;Monday;6557;25;clear-day;
Schildergasse (West), Köln;2018-05-07 15:00:00 +0200;Monday;6527;26;clear-day;
Schildergasse (West), Köln;2018-05-07 16:00:00 +0200;Monday;6574;27;clear-day;
Schildergasse (West), Köln;2018-05-07 17:00:00 +0200;Monday;6625;27;clear-day;
Schildergasse (West), Köln;2018-05-07 18:00:00 +0200;Monday;6552;27;clear-day;
Schildergasse (West), Köln;2018-05-07 19:00:00 +0200;Monday;5063;27;clear-day;
Schildergasse (West), Köln;2018-05-07 20:00:00 +0200;Monday;2444;25;clear-day;
Schildergasse (West), Köln;2018-05-07 21:00:00 +0200;Monday;991;23;clear-night;
Schildergasse (West), Köln;2018-05-07 22:00:00 +0200;Monday;482;19;clear-night;
Schildergasse (West), Köln;2018-05-07 23:00:00 +0200;Monday;275;17;clear-night;
Schildergasse (West), Köln;2018-05-08 00:00:00 +0200;Tuesday;89;16;clear-night;
Schildergasse (West), Köln;2018-05-08 01:00:00 +0200;Tuesday;46;16;clear-night;
Schildergasse (West), Köln;2018-05-08 02:00:00 +0200;Tuesday;34;14;clear-night;
Schildergasse (West), Köln;2018-05-08 03:00:00 +0200;Tuesday;23;13;clear-night;
Schildergasse (West), Köln;2018-05-08 04:00:00 +0200;Tuesday;12;12;clear-night;
Schildergasse (West), Köln;2018-05-08 05:00:00 +0200;Tuesday;66;11;clear-night;
Schildergasse (West), Köln;2018-05-08 06:00:00 +0200;Tuesday;265;11;clear-day;
Schildergasse (West), Köln;2018-05-08 07:00:00 +0200;Tuesday;634;12;clear-day;
Schildergasse (West), Köln;2018-05-08 08:00:00 +0200;Tuesday;1060;14;clear-day;
Schildergasse (West), Köln;2018-05-08 09:00:00 +0200;Tuesday;1770;17;clear-day;
Schildergasse (West), Köln;2018-05-08 10:00:00 +0200;Tuesday;3384;20;clear-day;
Schildergasse (West), Köln;2018-05-08 11:00:00 +0200;Tuesday;4846;22;clear-day;
Schildergasse (West), Köln;2018-05-08 12:00:00 +0200;Tuesday;6025;24;clear-day;
Schildergasse (West), Köln;2018-05-08 13:00:00 +0200;Tuesday;6578;26;clear-day;
Schildergasse (West), Köln;2018-05-08 14:00:00 +0200;Tuesday;6158;27;clear-day;
Schildergasse (West), Köln;2018-05-08 15:00:00 +0200;Tuesday;6575;27;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-08 16:00:00 +0200;Tuesday;6593;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-08 17:00:00 +0200;Tuesday;6930;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-08 18:00:00 +0200;Tuesday;6674;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-08 19:00:00 +0200;Tuesday;5159;27;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-08 20:00:00 +0200;Tuesday;2341;26;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-08 21:00:00 +0200;Tuesday;1031;23;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-08 22:00:00 +0200;Tuesday;750;20;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-08 23:00:00 +0200;Tuesday;362;18;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-09 00:00:00 +0200;Wednesday;123;17;clear-night;
Schildergasse (West), Köln;2018-05-09 01:00:00 +0200;Wednesday;64;16;clear-night;
